"","GeneID","Chr","Start","End","Strand","Annotation"
"1002","N16961_05460","NC_002505.1",1154258,1155595,"+","Response regulator c-di-GMP phosphodiesterase, RpfG family, contains REC and HD-GYP domains"
"1003","N16961_05465","NC_002505.1",1155624,1157228,"-","Signal transduction histidine kinase regulating C4-dicarboxylate transport system"
"1004","N16961_05470","NC_002505.1",1157232,1158044,"-","ABC-type phosphate/phosphonate transport system, periplasmic component"
"1005","N16961_05475","NC_002505.1",1158668,1160299,"+","ABC-type oligopeptide transport system, periplasmic component"
"1006","N16961_05480","NC_002505.1",1160448,1161368,"+","oligopeptide ABC transporter permease OppB"
"1007","N16961_05485","NC_002505.1",1161382,1162284,"+","oligopeptide ABC transporter permease OppC"
"1008","N16961_05490","NC_002505.1",1162312,1163283,"+","ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component"
"1009","N16961_05495","NC_002505.1",1163280,1164272,"+","murein tripeptide/oligopeptide ABC transporter ATP binding protein OppF"
"1010","N16961_05500","NC_002505.1",1164422,1165369,"+","Glutathionyl-hydroquinone reductase"
"1011","N16961_05505","NC_002505.1",1165467,1167611,"-","phosphate acetyltransferase"
"1012","N16961_05510","NC_002505.1",1167747,1168943,"-","Acetate kinase 1"
"1013","N16961_05515","NC_002505.1",1169296,1169748,"+","terminus macrodomain insulation protein YfbV"
"1014","N16961_05520","NC_002505.1",1169871,1170281,"-","DUF2132 domain-containing protein"
"1015","N16961_05525","NC_002505.1",1170719,1171684,"+","ABC-type uncharacterized transport system, periplasmic component"
"1016","N16961_05530","NC_002505.1",1171799,1172743,"+","ABC-type uncharacterized transport system, permease component"
"1017","N16961_05535","NC_002505.1",1172740,1173534,"+","ABC-type uncharacterized transport system, ATPase component"
"1018","N16961_05540","NC_002505.1",1173701,1175170,"+","GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants"
"1019","N16961_05545","NC_002505.1",1175203,1176153,"-","tRNA dihydrouridine(16) synthase DusC"
"1020","N16961_05550","NC_002505.1",1176340,1176960,"+","UPF0149 protein"
"1021","N16961_05555","NC_002505.1",1177056,1177652,"+","outer membrane lipoprotein chaperone LolA"
"1022","N16961_05560","NC_002505.1",1177677,1179026,"+","Replication-associated recombination protein RarA (DNA-dependent ATPase)"
"1023","N16961_05565","NC_002505.1",1179130,1180437,"+","serine--tRNA ligase"
"1024","N16961_05570","NC_002505.1",1180544,1181824,"-","adenosylmethionine--8-amino-7-oxononanoate transaminase"
"1025","N16961_05575","NC_002505.1",1181957,1183009,"+","biotin synthase BioB"
"1026","N16961_05580","NC_002505.1",1182993,1184147,"+","8-amino-7-oxononanoate synthase"
"1027","N16961_05585","NC_002505.1",1184150,1184947,"+","8-amino-7-oxononanoate synthase"
"1028","N16961_05590","NC_002505.1",1184944,1185639,"+","dethiobiotin synthase"
"1029","N16961_05595","NC_002505.1",1185721,1185891,"-","Heat-shock protein HtpX"
"1030","N16961_05600","NC_002505.1",1186157,1187020,"+","protease HtpX"
"1031","N16961_05605","NC_002505.1",1187239,1187658,"+","Ketosteroid isomerase-related protein"
"1032","N16961_05610","NC_002505.1",1187655,1188380,"+","SDR family oxidoreductase"
"1033","N16961_05615","NC_002505.1",1188394,1189671,"+","putative flavin-containing amine oxidase"
"1034","N16961_05620","NC_002505.1",1189671,1190480,"+","DUF1365 domain-containing protein"
"1035","N16961_05625","NC_002505.1",1190470,1191711,"+","Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases"
"1036","N16961_05630","NC_002505.1",1191714,1192253,"+","DUF2878 domain-containing protein"
"1037","N16961_05635","NC_002505.1",1192216,1192752,"+","Chalcone isomerase domain-containing protein"
"1038","N16961_05640","NC_002505.1",1192749,1193276,"+","Lipoprotein"
"1039","N16961_05645","NC_002505.1",1193367,1194737,"-","adenylosuccinate lyase"
"1040","N16961_05650","NC_002505.1",1194795,1195412,"-","high frequency lysogenization protein HflD"
"1041","N16961_05655","NC_002505.1",1195435,1196550,"-","tRNA 2-thiouridine(34) synthase MnmA"
"1042","N16961_05660","NC_002505.1",1196815,1198119,"+","Sugar or nucleoside kinase, ribokinase family"
"1043","N16961_05665","NC_002505.1",1198167,1198574,"-","DNA-binding protein H-NS"
"1044","N16961_05670","NC_002505.1",1199268,1200869,"+","Na+/H+ antiporter NhaC/MleN"
"1045","N16961_05675","NC_002505.1",1201278,1202174,"+","ATP phosphoribosyltransferase"
"1046","N16961_05680","NC_002505.1",1202179,1203474,"+","Histidinol dehydrogenase"
"1047","N16961_05685","NC_002505.1",1203478,1204518,"+","histidinol-phosphate transaminase"
"1048","N16961_05690","NC_002505.1",1204570,1205643,"+","bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB"
"1049","N16961_05695","NC_002505.1",1205643,1206254,"+","imidazole glycerol phosphate synthase subunit HisH"
"1050","N16961_05700","NC_002505.1",1206297,1207034,"+","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase"
"1051","N16961_05705","NC_002505.1",1207016,1207789,"+","Imidazole glycerol phosphate synthase subunit hisF1"
"1052","N16961_05710","NC_002505.1",1207786,1208418,"+","bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE"
"1053","N16961_05720","NC_002505.1",1208619,1209344,"-","23S rRNA pseudouridine(2457) synthase RluE"
"1054","N16961_05725","NC_002505.1",1209652,1211877,"+","NADP-dependent isocitrate dehydrogenase"
"1055","N16961_05730","NC_002505.1",1211976,1212197,"-","cold shock domain-containing protein CspD"
"1056","N16961_05735","NC_002505.1",1212670,1212990,"+","ATP-dependent Clp protease adapter ClpS"
"1057","N16961_05740","NC_002505.1",1213029,1215299,"+","ATP-dependent Clp protease ATP-binding subunit ClpA"
"1058","N16961_05745","NC_002505.1",1215368,1217044,"-","aspartate:alanine antiporter"
"1059","N16961_05750","NC_002505.1",1217246,1217509,"-","GrxA family glutaredoxin"
"1060","N16961_05755","NC_002505.1",1217818,1219065,"+","Alcohol dehydrogenase, class IV"
"1061","N16961_05760","NC_002505.1",1219156,1220010,"-","DNA-binding transcriptional regulator, MurR/RpiR family, contains HTH and SIS domains"
"1062","N16961_05765","NC_002505.1",1220318,1221964,"-","putative pyridoxal-dependent aspartate 1-decarboxylase"
"1063","N16961_05770","NC_002505.1",1222074,1222583,"-","Iron-regulated protein A"
"1064","N16961_05775","NC_002505.1",1222772,1223677,"-","DUF340 domain-containing protein"
"1065","N16961_05780","NC_002505.1",1223698,1224618,"-","HD-like signal output (HDOD) domain, no enzymatic activity"
"1066","N16961_05785","NC_002505.1",1224996,1225583,"+","Transcriptional regulator of competence genes, TfoX/Sxy family"
"1067","N16961_05790","NC_002505.1",1225679,1226227,"-","Outer membrane protein beta-barrel domain-containing protein"
"1068","N16961_05795","NC_002505.1",1226418,1226915,"-","DNA-binding response regulator DpiB of citrate/malate metabolism"
"1069","N16961_05800","NC_002505.1",1226912,1228108,"-","histidine kinase"
"1070","N16961_05805","NC_002505.1",1228096,1228866,"-","Response regulator"
"1071","N16961_05810","NC_002505.1",1229089,1230354,"+","DUF945 domain-containing protein"
"1072","N16961_05815","NC_002505.1",1230476,1231570,"+","3-phosphoserine/phosphohydroxythreonine transaminase"
"1073","N16961_05820","NC_002505.1",1231651,1232640,"-","Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily"
"1074","N16961_05825","NC_002505.1",1232640,1234148,"-","Gonadoliberin III"
"1075","N16961_05830","NC_002505.1",1234157,1234894,"-","ATP-dependent Zn protease"
"1076","N16961_05835","NC_002505.1",1235014,1235985,"-","tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB"
"1077","N16961_05840","NC_002505.1",1236097,1236825,"-","carboxy-S-adenosyl-L-methionine synthase CmoA"
"1078","N16961_05845","NC_002505.1",1236963,1237832,"-","Sugar isomerase-related protein YecE, UPF0759/DUF72 family"
"1079","N16961_05850","NC_002505.1",1238124,1239899,"+","aspartate--tRNA ligase"
"1080","N16961_05855","NC_002505.1",1239996,1240574,"+","thymidine kinase"
"1081","N16961_05860","NC_002505.1",1240676,1242052,"-","Na+/H+-dicarboxylate symporter"
"1082","N16961_05865","NC_002505.1",1242248,1243054,"-","tryptophan synthase subunit alpha"
"1083","N16961_05870","NC_002505.1",1243054,1244244,"-","tryptophan synthase subunit beta"
"1084","N16961_05875","NC_002505.1",1244285,1245694,"-","bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF"
"1085","N16961_05880","NC_002505.1",1245700,1246698,"-","Anthranilate phosphoribosyltransferase"
"1086","N16961_05885","NC_002505.1",1246719,1247324,"-","Anthranilate synthase component 2"
"1087","N16961_05890","NC_002505.1",1247327,1248898,"-","anthranilate synthase component 1"
"1088","N16961_05895","NC_002505.1",1249234,1250106,"+","5'-3' exoribonuclease TrpH/YciV (RNase AM), contains PHP domain"
"1089","N16961_05900","NC_002505.1",1250109,1250729,"+","L-threonylcarbamoyladenylate synthase"
"1090","N16961_05905","NC_002505.1",1250862,1251827,"+","23S rRNA pseudouridine(2605) synthase RluB"
"1091","N16961_05910","NC_002505.1",1251995,1253716,"-","cysteine/glutathione ABC transporter ATP-binding protein/permease CydC"
"1092","N16961_05915","NC_002505.1",1253709,1255496,"-","cysteine/glutathione ABC transporter permease/ATP-binding protein CydD"
"1093","N16961_05920","NC_002505.1",1255616,1256572,"-","thioredoxin-disulfide reductase"
"1094","N16961_05925","NC_002505.1",1257050,1257706,"+","putative dioxygenase, 2-oxoglutarate and Fe-dependent (2OG-Fe) dioxygenase superfamily"
"1095","N16961_05930","NC_002505.1",1257690,1258931,"+","Selenocysteine lyase/Cysteine desulfurase"
"1096","N16961_05935","NC_002505.1",1259189,1260520,"+","GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants"
"1097","N16961_05940","NC_002505.1",1260621,1261385,"-","Uncharacterized periplasmic protein SanA, affects membrane permeability for vancomycin"
"1098","N16961_05945","NC_002505.1",1261358,1261687,"-","DUF3392 domain-containing protein"
"1099","N16961_05950","NC_002505.1",1261730,1263418,"-","NAD-dependent malic enzyme"
"1100","N16961_05955","NC_002505.1",1263884,1264234,"+","Transporter"
"1101","N16961_05960","NC_002505.1",1264436,1265542,"-","phosphoribosylaminoimidazolesuccinocarboxamide synthase"
"1102","N16961_05965","NC_002505.1",1265708,1266106,"-","Helicase"
"1103","N16961_05970","NC_002505.1",1266398,1266580,"-","Phage protein"
"1104","N16961_05975","NC_002505.1",1266731,1267747,"-","TPR repeat"
"1105","N16961_05980","NC_002505.1",1267848,1268519,"-","Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins"
"1106","N16961_05985","NC_002505.1",1268619,1269302,"-","DUF2786 domain-containing protein"
"1107","N16961_05990","NC_002505.1",1269433,1270116,"-","Chemotaxis protein CheX"
"1108","N16961_05995","NC_002505.1",1270329,1273364,"+","FAD/FMN-containing lactate dehydrogenase/glycolate oxidase"
"1109","N16961_06000","NC_002505.1",1273420,1273881,"+","Protein-S-isoprenylcysteine O-methyltransferase Ste14"
"1110","N16961_06005","NC_002505.1",1274131,1275342,"+","GlyGly-anchored extracellular serine protease VesB"
"1111","N16961_06010","NC_002505.1",1275417,1276142,"-","DUF3581 domain-containing protein"
"1112","N16961_06015","NC_002505.1",1276291,1277826,"-","histidine ammonia-lyase"
"1113","N16961_06020","NC_002505.1",1277838,1279535,"-","urocanate hydratase"
"1114","N16961_06025","NC_002505.1",1279554,1280564,"-","formimidoylglutamase"
"1115","N16961_06030","NC_002505.1",1280554,1281762,"-","imidazolonepropionase"
"1116","N16961_06035","NC_002505.1",1281866,1282576,"-","histidine utilization repressor"
"1117","N16961_06040","NC_002505.1",1282693,1283640,"-","DUF3187 domain-containing protein"
"1118","N16961_06045","NC_002505.1",1283779,1284099,"-","HI1450 family dsDNA-mimic protein"
"1119","N16961_06050","NC_002505.1",1284104,1284670,"-","elongation factor P-like protein YeiP"
"1120","N16961_06055","NC_002505.1",1284889,1285656,"+","Nucleotidyltransferase domain-containing protein"
"1121","N16961_06060","NC_002505.1",1285765,1287864,"+","EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)"
"1122","N16961_06065","NC_002505.1",1287836,1290199,"-","DNA polymerase II"
"1123","N16961_06070","NC_002505.1",1290575,1291219,"+","UvrY/SirA/GacA family response regulator transcription factor"
"1124","N16961_06075","NC_002505.1",1291219,1293051,"+","excinuclease ABC subunit UvrC"
"1125","N16961_06080","NC_002505.1",1293099,1293656,"+","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase"
"1126","N16961_06105","NC_002505.1",1294549,1295667,"+","Hemerythrin"
"1127","N16961_06110","NC_002505.1",1295664,1296149,"-","N-acetylglutamate synthase or related acetyltransferase, GNAT family"
"1128","N16961_06115","NC_002505.1",1296440,1297423,"+","phenylalanine--tRNA ligase subunit alpha"
"1129","N16961_06120","NC_002505.1",1297450,1299837,"+","phenylalanine--tRNA ligase subunit beta"
"1130","N16961_06125","NC_002505.1",1300276,1300572,"+","integration host factor subunit alpha"
"1131","N16961_06130","NC_002505.1",1300701,1301480,"-","(p)ppGpp synthetase RelV"
"1132","N16961_06135","NC_002505.1",1301547,1301651,"-","hypothetical protein"
"1133","N16961_06145","NC_002505.1",1301949,1302605,"+","thiopurine S-methyltransferase"
"1134","N16961_06150","NC_002505.1",1302698,1303873,"-","phosphoribosylglycinamide formyltransferase 2"
"1135","N16961_06155","NC_002505.1",1304027,1304902,"-","putative permease, AEC (auxin efflux carrier) family"
"1136","N16961_06160","NC_002505.1",1305061,1305948,"-","cytidine deaminase"
"1137","N16961_06165","NC_002505.1",1306118,1306792,"-","Putative effector of murein hydrolase"
"1138","N16961_06170","NC_002505.1",1306783,1307124,"-","UPF0299 membrane protein VCM66_1188"
"1139","N16961_06175","NC_002505.1",1307189,1308613,"-","exodeoxyribonuclease I"
"1140","N16961_06180","NC_002505.1",1308759,1310132,"-","L-cystine transporter TcyP, sodium:dicarboxylate symporter family"
"1141","N16961_06185","NC_002505.1",1310478,1310924,"+","Peptide methionine sulfoxide reductase MsrB"
"1142","N16961_06195","NC_002505.1",1311535,1312560,"+","nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase"
"1143","N16961_06200","NC_002505.1",1312560,1313345,"+","adenosylcobinamide-GDP ribazoletransferase"
"1144","N16961_06205","NC_002505.1",1313354,1313893,"+","bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase"
"1145","N16961_06210","NC_002505.1",1313900,1314502,"+","Broad specificity phosphatase PhoE"
"1146","N16961_06215","NC_002505.1",1314818,1315846,"+","Succinylglutamate desuccinylase"
"1147","N16961_06220","NC_002505.1",1315915,1316922,"+","vitamin B12 ABC transporter permease BtuC"
"1148","N16961_06225","NC_002505.1",1316909,1317664,"+","vitamin B12 ABC transporter ATP-binding protein BtuD"
"1149","N16961_06230","NC_002505.1",1318049,1318624,"-","SAM-dependent methyltransferase"
"1150","N16961_06235","NC_002505.1",1318803,1319153,"-","DUF2750 domain-containing protein"
"1151","N16961_06240","NC_002505.1",1319246,1320856,"-","Methyl-accepting chemotaxis protein (MCP)"
"1152","N16961_06245","NC_002505.1",1321087,1321599,"-","Glycine cleavage system regulator GcvR"
"1153","N16961_06250","NC_002505.1",1321865,1322764,"-","DUF3943 domain-containing protein"
"1154","N16961_06255","NC_002505.1",1322937,1324175,"+","ADP-ribose pyrophosphatase domain of DNA damage- and competence-inducible protein CinA"
"1155","N16961_06260","NC_002505.1",1324425,1324679,"+","30S ribosomal protein S6 modification protein"
"1156","N16961_06265","NC_002505.1",1324877,1325155,"-","class I ribonucleotide reductase maintenance protein YfaE"
"1157","N16961_06270","NC_002505.1",1325155,1326300,"-","class Ia ribonucleoside-diphosphate reductase subunit beta"
"1158","N16961_06275","NC_002505.1",1326384,1328669,"-","class 1a ribonucleoside-diphosphate reductase subunit alpha"
"1159","N16961_06280","NC_002505.1",1329118,1329855,"-","bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG"
"1160","N16961_06285","NC_002505.1",1330207,1332891,"+","DNA gyrase subunit A"
"1161","N16961_06290","NC_002505.1",1333119,1334102,"+","rhodanese-related sulfurtransferase"
"1162","N16961_06295","NC_002505.1",1334129,1335028,"-","AraC-type DNA-binding domain and AraC-containing proteins"
"1163","N16961_06300","NC_002505.1",1335279,1336493,"+","putative arabinose efflux permease AraJ, MFS family"
"1164","N16961_06305","NC_002505.1",1336676,1336852,"+","3-demethylubiquinone-9 3-methyltransferase"
"1165","N16961_06310","NC_002505.1",1337023,1337673,"+","GTP cyclohydrolase-2"
"1166","N16961_06315","NC_002505.1",1337854,1339116,"+","Imelysin-like iron-regulated protein IrpA, duplicated M75 peptidase-like domain"
"1167","N16961_06320","NC_002505.1",1339323,1340708,"+","DUF1111 domain-containing protein"
"1168","N16961_06325","NC_002505.1",1340718,1341725,"+","Imelysin-like iron-regulated protein IrpA, duplicated M75 peptidase-like domain"
"1169","N16961_06330","NC_002505.1",1341706,1342788,"+","DUF1513 domain-containing protein"
"1170","N16961_06335","NC_002505.1",1343038,1344609,"+","Murein L,D-transpeptidase YcbB/YkuD"
"1171","N16961_06340","NC_002505.1",1344755,1345303,"+","DUF882 domain-containing protein"
"1172","N16961_06345","NC_002505.1",1345367,1346023,"+","Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II"
"1173","N16961_06350","NC_002505.1",1346017,1346691,"-","DUF2982 domain-containing protein"
"1174","N16961_06355","NC_002505.1",1346864,1347262,"+","MarR family transcriptional regulator"
"1175","N16961_06360","NC_002505.1",1347624,1348742,"+","TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component"
"1176","N16961_06365","NC_002505.1",1348844,1349377,"+","TRAP-type mannitol/chloroaromatic compound transport system, small permease component"
"1177","N16961_06370","NC_002505.1",1349387,1350670,"+","TRAP-type mannitol/chloroaromatic compound transport system, large permease component"
"1178","N16961_06375","NC_002505.1",1350777,1352132,"+","Signal transduction histidine kinase"
"1179","N16961_06380","NC_002505.1",1352125,1352763,"+","DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains"
"1180","N16961_06385","NC_002505.1",1352765,1353244,"-","DNA-binding transcriptional regulator, MarR family"
"1181","N16961_06390","NC_002505.1",1353619,1355223,"+","Choline-glycine betaine transporter"
"1182","N16961_06395","NC_002505.1",1355388,1356671,"-","Chitodextrinase"
"1183","N16961_06400","NC_002505.1",1356926,1357231,"+","Phosphotransferase system cellobiose-specific component IIB"
"1184","N16961_06405","NC_002505.1",1357319,1358650,"+","Phosphotransferase system cellobiose-specific component IIC"
"1185","N16961_06410","NC_002505.1",1358697,1359032,"+","Phosphotransferase system cellobiose-specific component IIA"
"1186","N16961_06415","NC_002505.1",1359014,1360336,"+","Alpha-galactosidase/6-phospho-beta-glucosidase, family 4 of glycosyl hydrolase"
"1187","N16961_06420","NC_002505.1",1360359,1361117,"+","chitin disaccharide deacetylase"
"1188","N16961_06425","NC_002505.1",1361218,1362240,"+","DNA-binding transcriptional regulator, LacI/PurR family"
"1189","N16961_06430","NC_002505.1",1362386,1364551,"-","glucans biosynthesis glucosyltransferase MdoH"
"1190","N16961_06435","NC_002505.1",1364570,1366207,"-","Glucans biosynthesis protein G"
"1191","N16961_06440","NC_002505.1",1366612,1368495,"+","Methyl-accepting chemotaxis protein (MCP)"
"1192","N16961_06445","NC_002505.1",1368634,1369335,"-","DNA polymerase III, epsilon subunit or related 3'-5' exonuclease"
"1193","N16961_06450","NC_002505.1",1369341,1371230,"-","Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains"
"1194","N16961_06455","NC_002505.1",1371535,1372725,"-","Aspartate/aromatic aminotransferase"
"1195","N16961_06460","NC_002505.1",1373094,1374545,"-","Cyclic di-GMP phosphodiesterase VC_1295"
"1196","N16961_06465","NC_002505.1",1375081,1375929,"+","Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase"
"1197","N16961_06470","NC_002505.1",1375995,1377395,"-","asparagine--tRNA ligase"
"1198","N16961_06475","NC_002505.1",1377542,1379173,"-","Methyl-accepting chemotaxis protein (MCP)"
"1199","N16961_06485","NC_002505.1",1379577,1379939,"+","6-carboxytetrahydropterin synthase QueD"
"1200","N16961_06490","NC_002505.1",1380028,1381389,"-","L-serine ammonia-lyase"
"1201","N16961_06495","NC_002505.1",1381482,1382735,"-","Amino acid permease"
"1202","N16961_06500","NC_002505.1",1383034,1383648,"-","CoA pyrophosphatase"
"1203","N16961_06505","NC_002505.1",1383845,1385221,"-","aminodeoxychorismate synthase component 1"
"1204","N16961_06510","NC_002505.1",1385397,1386914,"+","Tartrate dehydratase alpha subunit/Fumarate hydratase class I, N-terminal domain"
"1205","N16961_06515","NC_002505.1",1387063,1387248,"+","(pseudo) putative protein"
"1206","N16961_06520","NC_002505.1",1387473,1388846,"+","DUF463 domain-containing protein"
"1207","N16961_06525","NC_002505.1",1388843,1389589,"+","TIGR01620 family protein"
"1208","N16961_06530","NC_002505.1",1389532,1389861,"+","Membrane protein YcjF"
"1209","N16961_06535","NC_002505.1",1389975,1391516,"+","transcriptional regulator TyrR"
"1210","N16961_06540","NC_002505.1",1391516,1392091,"+","ribosomal protein S5-alanine N-acetyltransferase"
"1211","N16961_06545","NC_002505.1",1392186,1392659,"+","DUF2947 domain-containing protein"
"1212","N16961_06550","NC_002505.1",1392727,1393605,"-","Threonine/homoserine efflux transporter RhtA"
"1213","N16961_06555","NC_002505.1",1393726,1394949,"-","alanine racemase"
"1214","N16961_06560","NC_002505.1",1395061,1396692,"-","Methyl-accepting chemotaxis protein (MCP)"
"1215","N16961_06565","NC_002505.1",1397074,1398489,"+","Di- and tricarboxylate antiporter"
"1216","N16961_06570","NC_002505.1",1398499,1399848,"+","Signal transduction histidine kinase regulating C4-dicarboxylate transport system"
"1217","N16961_06575","NC_002505.1",1399817,1400293,"+","DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains"
"1218","N16961_06580","NC_002505.1",1400321,1401241,"-","DUF535 domain-containing protein"
"1219","N16961_06585","NC_002505.1",1401339,1402112,"-","Outer membrane protein OmpV"
"1220","N16961_06590","NC_002505.1",1402325,1403647,"-","histidine kinase CarS"
"1221","N16961_06595","NC_002505.1",1403673,1404377,"-","response regulator transcription factor CarR"
"1222","N16961_06600","NC_002505.1",1404753,1407824,"+","Penicillin-binding protein 1B/1F, peptidoglycan transglycosylase/transpeptidase"
"1223","N16961_06605","NC_002505.1",1407905,1408102,"-","Na+-NQR maturation protein NqrM"
"1224","N16961_06610","NC_002505.1",1408099,1408581,"-","putative Fe-Mo cluster-binding protein, NifX family"
"1225","N16961_06615","NC_002505.1",1409080,1410054,"+","galactose/glucose ABC transporter substrate-binding protein MglB"
"1226","N16961_06620","NC_002505.1",1410260,1411768,"+","galactose/methyl galactoside ABC transporter ATP-binding protein MglA"
"1227","N16961_06625","NC_002505.1",1411779,1412786,"+","galactose/methyl galactoside ABC transporter permease MglC"
"1228","N16961_06630","NC_002505.1",1413196,1413834,"+","Opacity protein-likeprotein"
"1229","N16961_06635","NC_002505.1",1414185,1414982,"+","Lipoprotein"
"1230","N16961_06640","NC_002505.1",1415133,1416662,"-","TctA family transporter"
"1231","N16961_06650","NC_002505.1",1416672,1417169,"-","Tricarboxylic transport TctB"
"1232","N16961_06655","NC_002505.1",1417421,1418392,"-","Tripartite-type tricarboxylate transporter, extracytoplasmic receptor component TctC"
"1233","N16961_06660","NC_002505.1",1419025,1419729,"+","DNA-binding transcriptional regulator, GntR family"
"1234","N16961_06665","NC_002505.1",1419740,1420636,"+","methylisocitrate lyase"
"1235","N16961_06670","NC_002505.1",1420812,1421945,"+","2-methylcitrate synthase"
"1236","N16961_06675","NC_002505.1",1421875,1422009,"-","hypothetical protein"
"1237","N16961_06680","NC_002505.1",1422041,1424647,"+","Fe/S-dependent 2-methylisocitrate dehydratase AcnD"
"1238","N16961_06685","NC_002505.1",1424656,1425858,"+","2-methylaconitate cis-trans isomerase PrpF"
"1239","N16961_06690","NC_002505.1",1425863,1427740,"+","Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase"
"1240","N16961_06695","NC_002505.1",1427914,1428390,"+","Ribosomal protein S18 acetylase RimI and related acetyltransferases"
"1241","N16961_06700","NC_002505.1",1428420,1429868,"+","8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family"
"1242","N16961_06705","NC_002505.1",1429934,1431040,"-","Di- or tripeptidase"
"1243","N16961_06710","NC_002505.1",1431500,1432573,"+","4-hydroxyphenylpyruvate dioxygenase"
"1244","N16961_06715","NC_002505.1",1432566,1433702,"+","Putative dioxygenase VC_1345"
"1245","N16961_06720","NC_002505.1",1433709,1434728,"+","2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)"
"1246","N16961_06725","NC_002505.1",1434728,1435372,"+","maleylacetoacetate isomerase"
"1247","N16961_06730","NC_002505.1",1435354,1436493,"-","putative cyclic di-GMP phosphodiesterase VC_1348"
"1248","N16961_06735","NC_002505.1",1436615,1440610,"+","PAS domain"
"1249","N16961_06740","NC_002505.1",1440716,1441189,"-","Peroxiredoxin"
"1250","N16961_06745","NC_002505.1",1441840,1444770,"+","Periplasmic ligand-binding sensor domain"
"1251","N16961_06750","NC_002505.1",1444812,1446005,"-","Ribosomal RNA large subunit methyltransferase I"
"1252","N16961_06755","NC_002505.1",1446251,1446526,"+","acylphosphatase"
"1253","N16961_06760","NC_002505.1",1446592,1446921,"-","Sulfur transfer complex TusBCD TusE component, DsrC family (tRNA 2-thiouridine synthesizing protein C)"
"1254","N16961_06765","NC_002505.1",1447035,1447706,"-","Uncharacterized membrane protein VC_1358"
"1255","N16961_06770","NC_002505.1",1447951,1448706,"-","ABC-type polar amino acid transport system, ATPase component"
"1256","N16961_06775","NC_002505.1",1448729,1449826,"-","ABC-type amino acid transport system, permease component"
"1257","N16961_06780","NC_002505.1",1449829,1451034,"-","ABC-type amino acid transport system, permease component"
"1258","N16961_06785","NC_002505.1",1451160,1452188,"-","ABC-type amino acid transport/signal transduction system, periplasmic component/domain"
"1259","N16961_06790","NC_002505.1",1452643,1453581,"+","Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)"
"1260","N16961_06795","NC_002505.1",1453647,1454468,"-","Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases"
"1261","N16961_06800","NC_002505.1",1454614,1454766,"-","hypothetical protein"
"1262","N16961_06805","NC_002505.1",1454831,1455481,"+","7-carboxy-7-deazaguanine synthase QueE"
"1263","N16961_06810","NC_002505.1",1455494,1456189,"+","7-cyano-7-deazaguanine synthase QueC"
"1264","N16961_06815","NC_002505.1",1456161,1458107,"-","Putative negative regulator of RcsB-dependent stress response, UPF0070 family"
"1265","N16961_06820","NC_002505.1",1458359,1458583,"+","Transposase"
"1266","N16961_06825","NC_002505.1",1458740,1459756,"+","ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component"
"1267","N16961_06830","NC_002505.1",1459753,1461084,"+","GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants"
"1268","N16961_06835","NC_002505.1",1461135,1461815,"-","Transposase"
"1269","N16961_06840","NC_002505.1",1462210,1463367,"+","GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants"
"1270","N16961_06845","NC_002505.1",1463479,1466307,"-","Molecular chaperone DnaK (HSP70)"
"1271","N16961_06850","NC_002505.1",1466367,1468262,"-","Molecular chaperone DnaK (HSP70)"
