# Annotated with Bakta
# Software: v1.9.2
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	958840	960405	-	N16961_04555	gGDEF	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	COG:COG2199, COG:T, RefSeq:WP_000538437.1, SO:0001217, UniParc:UPI00005F3170, UniRef:UniRef100_A0A2V4N6A3, UniRef:UniRef50_A7MYB4, UniRef:UniRef90_A0A0H3AL49
contig_1	cds	960516	962777	-	N16961_04560		TPR-repeat-containing protein	RefSeq:WP_001211755.1, SO:0001217, UniParc:UPI00000C2E02, UniRef:UniRef100_A0A0E4C3P9, UniRef:UniRef50_A0A1A6JD82, UniRef:UniRef90_A0A0H3AN06
contig_1	cds	962792	963637	-	N16961_04565	queF	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	COG:COG2904, COG:J, EC:1.7.1.13, GO:0005737, GO:0008616, GO:0033739, GO:0043867, KEGG:K06879, RefSeq:WP_000049898.1, SO:0001217, UniParc:UPI00005E26DF, UniRef:UniRef100_Q9KTK0, UniRef:UniRef50_Q9KTK0, UniRef:UniRef90_Q9KTK0
contig_1	cds	963734	964282	+	N16961_04570	syd	SecY-interacting protein	GO:0009898, KEGG:K15723, RefSeq:WP_000194668.1, SO:0001217, UniParc:UPI0000232D81, UniRef:UniRef100_Q9KTJ9, UniRef:UniRef50_Q9KTJ9, UniRef:UniRef90_Q9KTJ9
contig_1	cds	964284	965060	+	N16961_04575		putative nucleic acid-binding protein, contains Zn-ribbon domain	COG:COG5595, COG:R, RefSeq:WP_000289658.1, SO:0001217, UniParc:UPI00000C2E05, UniRef:UniRef100_A0A085R374, UniRef:UniRef50_A0A233RI91, UniRef:UniRef90_D7HF80
contig_1	cds	965193	966002	-	N16961_04580	metQ	putative D-methionine-binding lipoprotein MetQ	COG:COG1464, COG:P, GO:0005886, GO:0006865, RefSeq:WP_000672706.1, SO:0001217, UniParc:UPI000012F00A, UniRef:UniRef100_Q9KTJ7, UniRef:UniRef50_Q9KTJ7, UniRef:UniRef90_Q9KTJ7
contig_1	cds	966039	966716	-	N16961_04585	metI	putative D-methionine transport system permease protein MetI	COG:COG2011, COG:E, GO:0005886, GO:0048473, GO:0055085, RefSeq:WP_000009571.1, SO:0001217, UniParc:UPI000012EF9D, UniRef:UniRef100_Q9KTJ6, UniRef:UniRef50_Q9KTJ6, UniRef:UniRef90_Q9KTJ6
contig_1	cds	966706	967740	-	N16961_04590	metN	methionine ABC transporter ATP-binding protein MetN	COG:COG1135, COG:E, EC:7.4.2.11, GO:0005524, GO:0005886, GO:0009276, GO:0009898, GO:0016887, GO:0033232, GO:0048473, GO:0055052, RefSeq:WP_000569878.1, SO:0001217, UniParc:UPI000012F003, UniRef:UniRef100_Q9KTJ5, UniRef:UniRef50_Q5E715, UniRef:UniRef90_Q9KTJ5
contig_1	cds	967976	968536	+	N16961_04595	gmhB	D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	COG:COG0241, COG:E, EC:3.1.3.82, GO:0000287, GO:0005737, GO:0005975, GO:0008270, GO:0009244, GO:0016791, GO:0034200, GO:0097171, RefSeq:WP_001108094.1, SO:0001217, UniParc:UPI00000C2E06, UniRef:UniRef100_Q9KTJ4, UniRef:UniRef50_P46452, UniRef:UniRef90_Q9KTJ4
contig_1	cds	968547	969551	+	N16961_04600	treR	trehalose operon repressor TreR	COG:COG1609, COG:K, GO:0003700, GO:0005975, GO:0006355, SO:0001217, UniParc:UPI0001B1A515, UniRef:UniRef100_A0A655Z4M2, UniRef:UniRef50_Q6LSU2, UniRef:UniRef90_A0A0N8VC31
contig_1	cds	969800	971224	+	N16961_04605	treB	PTS trehalose transporter subunit IIBC	COG:COG1264, COG:G, EC:2.7.1.201, GO:0008982, GO:0009401, GO:0015574, GO:0015771, GO:0016020, RefSeq:WP_000034055.1, SO:0001217, UniParc:UPI00005F316D, UniRef:UniRef100_A0A0H3PWT0, UniRef:UniRef50_P36672, UniRef:UniRef90_A0A0H3PWT0
contig_1	cds	971304	972992	+	N16961_04610	treC	alpha,alpha-phosphotrehalase	COG:COG0366, COG:G, EC:3.2.1.93, GO:0005991, GO:0008788, RefSeq:WP_000099341.1, SO:0001217, UniParc:UPI00000C2E09, UniRef:UniRef100_A0A0H3Q4T6, UniRef:UniRef50_P39795, UniRef:UniRef90_A0A8B5ZE72
contig_1	tRNA	973171	973255	-	N16961_04615	trnY	tRNA-Tyr(gta)	SO:0000272
contig_1	tRNA	973340	973424	-	N16961_04620	trnY	tRNA-Tyr(gta)	SO:0000272
contig_1	tRNA	973509	973593	-	N16961_04625	trnY	tRNA-Tyr(gta)	SO:0000272
contig_1	tRNA	973679	973763	-	N16961_04630	trnY	tRNA-Tyr(gta)	SO:0000272
contig_1	cds	974049	975107	+	N16961_04635	acrA	vibriobactin export RND transporter periplasmic adaptor subunit VexG	BlastRules:WP_001039257, COG:COG0845, COG:MV, RefSeq:WP_001039257.1, SO:0001217, UniParc:UPI00000C2E0B, UniRef:UniRef100_A0A0H6YTA7, UniRef:UniRef50_D2YDI2, UniRef:UniRef90_A0A0H6YTA7
contig_1	cds	975107	978217	+	N16961_04640	acrB	vibriobactin export RND transporter permease subunit VexH	BlastRules:WP_000266715, COG:COG0841, COG:V, RefSeq:WP_000266715.1, SO:0001217, UniParc:UPI00000C2E0C, UniRef:UniRef100_A0A0H6T968, UniRef:UniRef50_E3BII6, UniRef:UniRef90_A0A0H6T968
contig_1	cds	978794	979144	+	N16961_04645	wzb	(pseudo) Protein-tyrosine-phosphatase	COG:COG0394, COG:T, SO:0001217, UniRef:UniRef50_A0A0H5WT43, UniRef:UniRef90_A0A0H5WT43
contig_1	cds	979225	979314	-	N16961_04650		hypothetical protein	
contig_1	cds	979457	980575	+	N16961_04655	vpsA	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing) VpsA	BlastRules:WP_000756756, COG:COG0381, COG:M, EC:5.1.3.14, GO:0008761, GO:0009103, RefSeq:WP_000756756.1, SO:0001217, UniParc:UPI00000C2E0F, UniRef:UniRef100_A0A0E4CCM6, UniRef:UniRef50_D2TCQ0, UniRef:UniRef90_A0A0E4CCM6
contig_1	cds	980595	981836	+	N16961_04660	vpsB	UDP-N-acetyl-D-mannosamine dehydrogenase VpsB	BlastRules:WP_000482531, COG:COG0677, COG:M, EC:1.1.1.336, GO:0009246, GO:0051287, GO:0089714, RefSeq:WP_000482531.1, SO:0001217, UniParc:UPI00000C2E10, UniRef:UniRef100_A0A0H6YTR0, UniRef:UniRef50_A0A0H6YTR0, UniRef:UniRef90_A0A0H6YTR0
contig_1	cds	981833	982387	+	N16961_04665	vpsC	exopolysaccharide biosynthesis acetyltransferase VpsC	BlastRules:WP_000098186, COG:COG1045, COG:E, RefSeq:WP_000098186.1, SO:0001217, UniParc:UPI00000C2E11, UniRef:UniRef100_A0A0H3PXL1, UniRef:UniRef50_A0A0F4Q4F8, UniRef:UniRef90_A0A0H3PXL1
contig_1	cds	982384	983532	+	N16961_04670	vpsD	exopolysaccharide biosynthesis glycosyltransferase VpsD	BlastRules:WP_000034987, COG:COG0438, COG:M, RefSeq:WP_000034987.1, SO:0001217, UniParc:UPI00000C2E12, UniRef:UniRef100_A0A0H6JSK1, UniRef:UniRef50_D2YDI7, UniRef:UniRef90_A0A0H6JSK1
contig_1	cds	983529	984938	+	N16961_04675	vpsE	exopolysaccharide biosynthesis flippase VpsE	BlastRules:WP_000562056, COG:COG2244, COG:M, RefSeq:WP_000562056.1, SO:0001217, UniParc:UPI00000C2E13, UniRef:UniRef100_A0A0H5V3G0, UniRef:UniRef50_D7HF95, UniRef:UniRef90_D7HF95
contig_1	cds	984935	986155	+	N16961_04680	vpsF	exopolysaccharide biosynthesis protein VpsF	BlastRules:WP_000004104, KEGG:K20947, RefSeq:WP_000004104.1, SO:0001217, UniParc:UPI00000C2E14, UniRef:UniRef100_A0A0H6K7D0, UniRef:UniRef50_D7HF96, UniRef:UniRef90_D7HF96
contig_1	cds	986166	986597	+	N16961_04685	vpsG	exopolysaccharide biosynthesis acetyltransferase VpsG	BlastRules:WP_000266826, COG:COG1045, COG:E, RefSeq:WP_000266826.1, SO:0001217, UniParc:UPI00000C2E15, UniRef:UniRef100_A0A086SS47, UniRef:UniRef50_A0A086SS47, UniRef:UniRef90_A0A086SS47
contig_1	cds	986597	987937	+	N16961_04690	vpsH	exopolysaccharide biosynthesis protein VpsH	BlastRules:WP_000495305, COG:COG1541, COG:H, RefSeq:WP_000495305.1, SO:0001217, UniParc:UPI00000C2E16, UniRef:UniRef100_A0A0H7AHV2, UniRef:UniRef50_D7HF98, UniRef:UniRef90_A0A0H7AHV2
contig_1	cds	987934	989010	+	N16961_04695	vpsI	exopolysaccharide biosynthesis glycosyltransferase VpsI	COG:COG0438, COG:M, RefSeq:WP_001909517.1, SO:0001217, UniParc:UPI00019F6E91, UniRef:UniRef100_A0A0H3PWL5, UniRef:UniRef50_A0A655UMQ0, UniRef:UniRef90_A0A655UMQ0, VFDB:VFC0271, VFDB:VFG050281
contig_1	cds	989007	990179	+	N16961_04700	vpsJ	exopolysaccharide biosynthesis protein VpsJ	BlastRules:WP_000843487, KEGG:K20948, RefSeq:WP_000843487.1, SO:0001217, UniParc:UPI00000C2E18, UniRef:UniRef100_A0A0H6KWE3, UniRef:UniRef50_R1IEB0, UniRef:UniRef90_A0A0H3ALJ0
contig_1	cds	990184	990921	+	N16961_04705	vpsK	exopolysaccharide biosynthesis glycosyltransferase VpsK	BlastRules:WP_001245630, COG:COG1922, COG:M, EC:2.4.1.187, KEGG:K05946, SO:0001217, UniParc:UPI0001B1A526, UniRef:UniRef100_A0A656AJ66, UniRef:UniRef50_A0A655UMU4, UniRef:UniRef90_A0A655UMU4
contig_1	cds	991141	991932	+	N16961_04710	rbmA	RbmA protein	KEGG:K20953, RefSeq:WP_001042216.1, SO:0001217, UniParc:UPI00005F3165, UniRef:UniRef100_A0A0H3Q4V0, UniRef:UniRef50_A0A0N8VAR7, UniRef:UniRef90_D7HFA2
contig_1	cds	992138	993364	-	N16961_04715		Iota-carrageenase	RefSeq:WP_000928231.1, SO:0001217, UniParc:UPI00000C2E1B, UniRef:UniRef100_A0A0H5UQU1, UniRef:UniRef50_A0A366A6B5, UniRef:UniRef90_A0A0H5UQU1
contig_1	cds	993628	996501	+	N16961_04720		hemolysin	KEGG:K20952, RefSeq:WP_000200580.1, SO:0001217, UniParc:UPI00000C2E1C, UniRef:UniRef100_A0A0H3PWM2, UniRef:UniRef50_D7HFA4, UniRef:UniRef90_D7HFA4, VFDB:VFC0271, VFDB:VFG050284
contig_1	cds	996656	997972	-	N16961_04725	rfaL	O-antigen ligase	COG:COG3307, COG:M, RefSeq:WP_000947937.1, SO:0001217, UniParc:UPI00000C2E1D, UniRef:UniRef100_A0A0H5UHS8, UniRef:UniRef50_D7HFA5, UniRef:UniRef90_D7HFA5
contig_1	cds	998148	998435	-	N16961_04730	rmbE	RmbE	SO:0001217, UniParc:UPI00000C2E1E, UniRef:UniRef100_A0A2H4NFG5, UniRef:UniRef50_A0A2H4NFG5, UniRef:UniRef90_A0A2H4NFG5
contig_1	cds	999245	1000639	+	N16961_04735	vpsL	exopolysaccharide biosynthesis glycosyltransferase VpsL	BlastRules:WP_001889848, COG:COG2148, COG:M, EC:2.7.8.31, GO:0016780, RefSeq:WP_001880755.1, SO:0001217, UniParc:UPI0001B1BBF9, UniRef:UniRef100_A0A2V4NVP2, UniRef:UniRef50_A0A1C9W7V4, UniRef:UniRef90_A0A2V4NVP2
contig_1	cds	1000710	1001906	+	N16961_04740	vpsM	exopolysaccharide biosynthesis beta-barrel protein VpsM	BlastRules:WP_000433346, COG:COG5338, COG:S, RefSeq:WP_000433346.1, SO:0001217, UniParc:UPI00000C2E21, UniRef:UniRef100_A0A0H6KBS2, UniRef:UniRef50_A0A2S1ZT84, UniRef:UniRef90_A0A2S1ZT84
contig_1	cds	1001910	1002437	+	N16961_04745	vpsN	exopolysaccharide export protein VpsN	BlastRules:WP_000978825, COG:COG1596, COG:M, KEGG:K01991, RefSeq:WP_000978825.1, SO:0001217, UniParc:UPI00000C2E22, UniRef:UniRef100_A0A2K2UPT5, UniRef:UniRef50_A0A0Q0PYZ0, UniRef:UniRef90_A0A0Q0PYZ0
contig_1	cds	1002462	1004675	+	N16961_04750	vpsO	exopolysaccharide regulatory tyrosine autokinase VpsO	BlastRules:WP_000147064, COG:COG3206, COG:M, RefSeq:WP_000147064.1, SO:0001217, UniParc:UPI00000C2E23, UniRef:UniRef100_A0A0H6WTF3, UniRef:UniRef50_A0A0H6WTF3, UniRef:UniRef90_A0A0H6WTF3
contig_1	cds	1004672	1005379	+	N16961_04755	vpsP	exopolysaccharide biosynthesis protein VpsP	BlastRules:WP_000990932, KEGG:K20949, RefSeq:WP_000990932.1, SO:0001217, UniParc:UPI00000C2E24, UniRef:UniRef100_A0A0H3PWU5, UniRef:UniRef50_A0A6B3LBR3, UniRef:UniRef90_A0A6B3LBR3
contig_1	cds	1005358	1005792	+	N16961_04760	vpsQ	exopolysaccharide biosynthesis protein VpsQ	BlastRules:WP_001187445, RefSeq:WP_001187445.1, SO:0001217, UniParc:UPI00000C2E25, UniRef:UniRef100_A0A0H5WLN1, UniRef:UniRef50_D0IGC7, UniRef:UniRef90_C3LTI7
contig_1	ncRNA	1005805	1005929	-	N16961_04765	V_AS5	Vibrio RNA AS5	RFAM:RF02818, SO:0000655
contig_1	cds	1005943	1006539	-	N16961_04770	yitT	DUF161 DUF2179 domains-containing protein	COG:COG1284, COG:S, RefSeq:WP_000410937.1, SO:0001217, UniParc:UPI00000C2E26, UniRef:UniRef100_A0A086SRW3, UniRef:UniRef50_A0A0M0HK74, UniRef:UniRef90_C3LTI8
contig_1	cds	1006880	1008130	+	N16961_04775	glyA1	Serine hydroxymethyltransferase 1	COG:COG0112, COG:E, EC:2.1.2.1, GO:0004372, GO:0005737, GO:0019264, GO:0030170, GO:0035999, KEGG:K00600, RefSeq:WP_000919132.1, SO:0001217, UniParc:UPI000012B4E5, UniRef:UniRef100_Q9KTG1, UniRef:UniRef50_Q9KTG1, UniRef:UniRef90_Q9KTG1
contig_1	cds	1008294	1008620	-	N16961_04780		Lipoprotein	RefSeq:WP_001015526.1, SO:0001217, UniParc:UPI00005F3161, UniRef:UniRef100_A0A246DMH1, UniRef:UniRef50_Q7MN18, UniRef:UniRef90_A0A067B9T6
contig_1	cds	1008816	1009781	-	N16961_04785	lipA	lipoyl synthase	COG:COG0320, COG:H, EC:2.8.1.8, GO:0005737, GO:0009107, GO:0016992, GO:0046872, GO:0051539, GO:1904047, RefSeq:WP_000042591.1, SO:0001217, UniParc:UPI000012E6DF, UniRef:UniRef100_Q9KTF9, UniRef:UniRef50_Q31F42, UniRef:UniRef90_Q9KTF9
contig_1	cds	1009774	1010424	-	N16961_04790	lipB	lipoyl(octanoyl) transferase LipB	COG:COG0321, COG:H, EC:2.3.1.181, GO:0005737, GO:0009249, GO:0033819, GO:0036211, RefSeq:WP_000431344.1, SO:0001217, UniParc:UPI00001BBB58, UniRef:UniRef100_Q9KTF8, UniRef:UniRef50_Q9KTF8, UniRef:UniRef90_Q9KTF8
contig_1	cds	1010612	1010890	-	N16961_04795	ybeD	DUF493 domain-containing protein	COG:COG2921, COG:T, GO:0005829, RefSeq:WP_000932180.1, SO:0001217, UniParc:UPI00000C2E28, UniRef:UniRef100_A5F2Y2, UniRef:UniRef50_Q9CJR4, UniRef:UniRef90_A5F2Y2
contig_1	cds	1011038	1012213	-	N16961_04800	dacC	D-alanyl-D-alanine carboxypeptidase	COG:COG1686, COG:M, RefSeq:WP_000748295.1, SO:0001217, UniParc:UPI00000C2E2A, UniRef:UniRef100_Q9KTF5, UniRef:UniRef50_A0A5J6WLQ6, UniRef:UniRef90_A0A085SB94
contig_1	cds	1012305	1013096	-	N16961_04805	rlpA	septal ring lytic transglycosylase RlpA	BlastRules:WP_001080119, COG:COG0797, COG:M, EC:4.2.2.-, GO:0000270, GO:0005886, GO:0008932, GO:0009279, GO:0042834, GO:0071555, RefSeq:WP_001080119.1, SO:0001217, UniParc:UPI0000134283, UniRef:UniRef100_Q9KTF4, UniRef:UniRef50_Q9KTF4, UniRef:UniRef90_Q9KTF4
contig_1	cds	1013096	1014217	-	N16961_04810	mrdB	peptidoglycan glycosyltransferase MrdB	COG:COG0772, COG:D, EC:2.4.1.129, KEGG:K05837, RefSeq:WP_000781440.1, SO:0001217, UniParc:UPI00000C2E2B, UniRef:UniRef100_A0A085S0L0, UniRef:UniRef50_A0A839V0S5, UniRef:UniRef90_A0A085S0L0
contig_1	cds	1014214	1016130	-	N16961_04815	mrdA	penicillin-binding protein 2	COG:COG0768, COG:DM, EC:3.4.16.4, GO:0003824, GO:0009252, RefSeq:WP_000945987.1, SO:0001217, UniParc:UPI00000C2E2C, UniRef:UniRef100_A0A085QD95, UniRef:UniRef50_A0A264VS33, UniRef:UniRef90_A0A085QD95
contig_1	cds	1016137	1016607	-	N16961_04820	rlmH	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	COG:COG1576, COG:J, EC:2.1.1.177, GO:0005737, GO:0006364, GO:0008168, GO:0070038, RefSeq:WP_000701620.1, SO:0001217, UniParc:UPI00000C2E2D, UniRef:UniRef100_A5F2Y7, UniRef:UniRef50_Q6LN94, UniRef:UniRef90_A5F2Y7
contig_1	cds	1016610	1016927	-	N16961_04825	rsfS	ribosome silencing factor	COG:COG0799, COG:J, GO:0017148, GO:0043022, RefSeq:WP_001161137.1, SO:0001217, UniParc:UPI00000C2E2E, UniRef:UniRef100_A0A085SQ96, UniRef:UniRef50_P0AAT7, UniRef:UniRef90_A0A085SQ96
contig_1	cds	1016996	1018024	-	N16961_04830	holA	DNA polymerase III subunit delta	COG:COG1466, COG:L, EC:2.7.7.7, GO:0003887, GO:0006260, GO:0009360, RefSeq:WP_001223841.1, SO:0001217, UniParc:UPI00000C2E2F, UniRef:UniRef100_A0A0H5W7K9, UniRef:UniRef50_A0A3Q0L1M8, UniRef:UniRef90_A0A0Q0Q7T4
contig_1	cds	1018030	1018644	-	N16961_04835	lptE	Outer membrane lipoprotein LptE/RlpB (LPS assembly)	COG:COG2980, COG:M, RefSeq:WP_001246443.1, SO:0001217, UniParc:UPI0001BADEEF, UniRef:UniRef100_A0A655UKJ8, UniRef:UniRef50_A0A0C2JQV9, UniRef:UniRef90_A0A0Q0VHF2
contig_1	cds	1018821	1021397	-	N16961_04840	leuS	leucine--tRNA ligase	COG:COG0495, COG:J, EC:6.1.1.4, GO:0002161, GO:0004823, GO:0005524, GO:0005737, GO:0005829, GO:0006429, RefSeq:WP_001157864.1, SO:0001217, UniParc:UPI000013657B, UniRef:UniRef100_Q9KTE6, UniRef:UniRef50_Q5QYD1, UniRef:UniRef90_Q9KTE6
contig_1	cds	1021527	1021997	+	N16961_04845		zinc ribbon-containing protein	RefSeq:WP_001125919.1, SO:0001217, UniParc:UPI00000C2E32, UniRef:UniRef100_A0A085T7X8, UniRef:UniRef50_Q6LN99, UniRef:UniRef90_A0A0Q0PS81
contig_1	cds	1022053	1023570	-	N16961_04850	lnt	apolipoprotein N-acyltransferase	COG:COG0815, COG:M, EC:2.3.1.269, GO:0005886, GO:0006497, GO:0016020, GO:0016410, GO:0042158, RefSeq:WP_001089648.1, SO:0001217, UniParc:UPI00000C2E33, UniRef:UniRef100_Q9KTE4, UniRef:UniRef50_Q9KTE4, UniRef:UniRef90_Q9KTE4
contig_1	cds	1023611	1024486	-	N16961_04855	corC	CNNM family magnesium/cobalt transport protein CorC	COG:COG4535, COG:P, GO:0005886, GO:0050660, RefSeq:WP_001001301.1, SO:0001217, UniParc:UPI0000127F21, UniRef:UniRef100_Q9KTE3, UniRef:UniRef50_Q57368, UniRef:UniRef90_Q9KTE3
contig_1	cds	1024556	1025020	-	N16961_04860	ybeY	rRNA maturation RNase YbeY	COG:COG0319, COG:J, EC:3.1.-.-, GO:0004222, GO:0004521, GO:0004540, GO:0005737, GO:0006364, GO:0008270, GO:0042254, GO:0046872, RefSeq:WP_000021208.1, SO:0001217, UniParc:UPI0000139E7E, UniRef:UniRef100_Q9KTE2, UniRef:UniRef50_Q7MN02, UniRef:UniRef90_Q9KTE2
contig_1	cds	1025017	1026120	-	N16961_04865	phoH	Phosphate starvation-inducible protein PhoH, putative ATPase	COG:COG1702, COG:T, RefSeq:WP_000066204.1, SO:0001217, UniParc:UPI00000C2E34, UniRef:UniRef100_A0A086SRX8, UniRef:UniRef50_P0A9K5, UniRef:UniRef90_A0A0M0HJH6
contig_1	cds	1026188	1027612	-	N16961_04870	miaB	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	COG:COG0621, COG:J, EC:2.8.4.3, GO:0005737, GO:0006400, GO:0016782, GO:0035596, GO:0046872, GO:0051539, GO:1904047, KEGG:K06168, RefSeq:WP_000038553.1, SO:0001217, UniParc:UPI00000C2E35, UniRef:UniRef100_A5F2X6, UniRef:UniRef50_B2VBL4, UniRef:UniRef90_A5F2X6
contig_1	cds	1027866	1029029	+	N16961_04875	ubiF	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	COG:COG0654, COG:HC, GO:0006744, GO:0016705, GO:0071949, RefSeq:WP_000016395.1, SO:0001217, UniParc:UPI0001B1A551, UniRef:UniRef100_A0A0H3PWQ3, UniRef:UniRef50_A0A0F5EVS7, UniRef:UniRef90_A0A655ZWE7
contig_1	cds	1029142	1029651	-	N16961_04880	crr	PTS glucose transporter subunit IIA	COG:COG2190, COG:G, EC:2.7.1.199, GO:0009401, RefSeq:WP_000522238.1, SO:0001217, UniParc:UPI00000C2E37, UniRef:UniRef100_A0A086SRY0, UniRef:UniRef50_Q9WXI7, UniRef:UniRef90_A0A086SRY0
contig_1	cds	1029760	1031481	-	N16961_04885	ptsI	phosphoenolpyruvate-protein phosphotransferase PtsI	COG:COG1080, COG:G, EC:2.7.3.9, RefSeq:WP_000623159.1, SO:0001217, UniParc:UPI00000C2E38, UniRef:UniRef100_A0A0H6NYJ5, UniRef:UniRef50_P08839, UniRef:UniRef90_A0A0H6NYJ5
contig_1	cds	1031615	1031872	-	N16961_04890	ptsH	Phosphocarrier protein HPr	COG:COG1925, COG:TG, GO:0005737, GO:0009401, RefSeq:WP_000273061.1, SO:0001217, UniParc:UPI00001328FE, UniRef:UniRef100_Q9KTD6, UniRef:UniRef50_P43921, UniRef:UniRef90_Q9KTD6
contig_1	cds	1032170	1033138	-	N16961_04895	cysK	cysteine synthase A	COG:COG0031, COG:E, EC:2.5.1.47, GO:0004124, GO:0006535, RefSeq:WP_000036918.1, SO:0001217, UniParc:UPI00000C2E3A, UniRef:UniRef100_A0A085R350, UniRef:UniRef50_P0ABK6, UniRef:UniRef90_A0A085R350
contig_1	cds	1033261	1034013	-	N16961_04900	cysZ	sulfate transporter CysZ	COG:COG2981, COG:EP, GO:0000103, GO:0005886, GO:0015116, GO:0019344, RefSeq:WP_001167408.1, SO:0001217, UniParc:UPI0000128D57, UniRef:UniRef100_Q9KTD3, UniRef:UniRef50_P12673, UniRef:UniRef90_Q9KTD3
contig_1	cds	1034243	1035118	+	N16961_04905	zipA	cell division protein ZipA	GO:0000917, GO:0005515, GO:0005886, GO:0032153, GO:0043093, GO:0090529, KEGG:K03528, RefSeq:WP_001157059.1, SO:0001217, UniParc:UPI000013C3E8, UniRef:UniRef100_A5F2W2, UniRef:UniRef50_A5F2W2, UniRef:UniRef90_A5F2W2
contig_1	cds	1035251	1037260	+	N16961_04910	ligA	NAD-dependent DNA ligase LigA	COG:COG0272, COG:L, EC:6.5.1.2, GO:0003677, GO:0003911, GO:0006260, GO:0006281, GO:0046872, RefSeq:WP_001286040.1, SO:0001217, UniParc:UPI00000C2E3B, UniRef:UniRef100_Q9KTD1, UniRef:UniRef50_A4G4R4, UniRef:UniRef90_Q9KTD1
contig_1	cds	1037891	1038940	+	N16961_04915	chiP	chitoporin	BlastRules:WP_000359808, BlastRules:WP_004726690, BlastRules:WP_050912619, COG:COG3203, COG:M, RefSeq:WP_000359808.1, SO:0001217, UniParc:UPI00000C2E3C, UniRef:UniRef100_A0A0H6Q2Y0, UniRef:UniRef50_Q9KK91, UniRef:UniRef90_A0A0H6Q2Y0
contig_1	cds	1039020	1039832	+	N16961_04920		DUF2057 domain-containing protein	SO:0001217, UniParc:UPI00025288C5, UniRef:UniRef100_A0A2V4NGD8, UniRef:UniRef50_A0A2J9V215, UniRef:UniRef90_A0A366A6G4
contig_1	cds	1039857	1040312	+	N16961_04925	cueR	Cu(I)-responsive transcriptional regulator	COG:COG0789, COG:K, GO:0003677, GO:0003700, GO:0005507, GO:0005737, GO:0006355, GO:0006878, GO:0045893, SO:0001217, UniRef:UniRef50_A5F2W6, UniRef:UniRef90_A5F2W6
contig_1	cds	1040356	1040805	-	N16961_04930		NfeD-like C-terminal domain-containing protein	RefSeq:WP_000229931.1, SO:0001217, UniParc:UPI00005F32AC, UniRef:UniRef100_A0A544EUL3, UniRef:UniRef50_A0A3A2IC29, UniRef:UniRef90_Q9KTC7
contig_1	cds	1040813	1041733	-	N16961_04935	hflC	Regulator of protease activity HflC, stomatin/prohibitin superfamily	COG:COG0330, COG:O, RefSeq:WP_000963390.1, SO:0001217, UniParc:UPI00000C2E3E, UniRef:UniRef100_A0A0F0B7S7, UniRef:UniRef50_A0A1K1NL75, UniRef:UniRef90_A0A0F2HV94
contig_1	cds	1042164	1043018	-	N16961_04940	cnoX	Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family	COG:COG3118, COG:O, RefSeq:WP_001147250.1, SO:0001217, UniParc:UPI00005F32AD, UniRef:UniRef100_A0A0H6W9D1, UniRef:UniRef50_D2YI32, UniRef:UniRef90_D7H7I2
contig_1	cds	1043447	1044274	-	N16961_04945	yqjQ	SDR family oxidoreductase	COG:COG0300, COG:R, GO:0016491, RefSeq:WP_000167389.1, SO:0001217, UniParc:UPI00000C2E41, UniRef:UniRef100_A0A0H6KF17, UniRef:UniRef50_A0A448D8J6, UniRef:UniRef90_A0A0H6KF17
contig_1	cds	1044317	1045231	-	N16961_04950	yfcH	NAD dependent epimerase/dehydratase family enzyme	COG:COG1090, COG:R, RefSeq:WP_001221396.1, SO:0001217, UniParc:UPI00005F32AE, UniRef:UniRef100_A0A2V4NIZ4, UniRef:UniRef50_D2YI34, UniRef:UniRef90_A0A2V4NIZ4
contig_1	cds	1045646	1046194	+	N16961_04955	yfcE	phosphodiesterase	COG:COG0622, COG:R, EC:3.1.4.-, RefSeq:WP_000765092.1, SO:0001217, UniParc:UPI00005F32AF, UniRef:UniRef100_A0A0H3PWZ2, UniRef:UniRef50_Q5E6R2, UniRef:UniRef90_A0A0E4GHV3
contig_1	cds	1046275	1046568	-	N16961_04960		putative selenoprotein, Rdx family	COG:COG3526, COG:R, RefSeq:WP_001030451.1, SO:0001217, UniParc:UPI00000C2E43, UniRef:UniRef100_A0A1X1LB68, UniRef:UniRef50_G9N9N8, UniRef:UniRef90_D7H7I6
contig_1	cds	1046609	1047130	-	N16961_04965	toxS	transmembrane regulator ToxS	BlastRules:WP_001181145, BlastRules:WP_005454545, GO:0005886, RefSeq:WP_001181145.1, SO:0001217, UniParc:UPI0000137190, UniRef:UniRef100_P24003, UniRef:UniRef50_P24003, UniRef:UniRef90_P24003
